model,sparsity,method,perplexity,time_seconds
opt-125m,0.0,dense,27.6544,
opt-125m,0.1,perlayer,29.3253,
opt-125m,0.1,global,30.2721,
opt-125m,0.2,perlayer,34.5237,
opt-125m,0.2,global,37.5873,
opt-125m,0.25,perlayer,38.1326,
opt-125m,0.25,global,43.008,
opt-125m,0.3,perlayer,44.6119,
opt-125m,0.3,global,52.3702,
opt-1.3b,0.0,dense,14.625,
opt-1.3b,0.1,perlayer,15.1435,
opt-1.3b,0.1,global,15.1442,141
opt-1.3b,0.2,perlayer,16.5805,252
opt-1.3b,0.2,global,16.9512,141
opt-1.3b,0.25,perlayer,17.7697,252
opt-1.3b,0.25,global,18.7089,140
opt-1.3b,0.3,perlayer,19.6014,252
opt-1.3b,0.3,global,21.6208,141
opt-2.7b,0.0,dense,12.4691,12711
opt-2.7b,0.1,perlayer,12.8193,449
opt-2.7b,0.1,global,12.8421,250
opt-2.7b,0.2,perlayer,13.8979,449
opt-2.7b,0.2,global,14.0838,245
opt-2.7b,0.25,perlayer,14.8391,441
opt-2.7b,0.25,global,15.2789,246
opt-2.7b,0.3,perlayer,16.304,438
opt-2.7b,0.3,global,17.3731,242
opt-6.7b,0.0,dense,10.856,434
opt-6.7b,0.1,perlayer,11.1084,377
opt-6.7b,0.1,global,11.2003,253
opt-6.7b,0.2,perlayer,11.8855,376
opt-6.7b,0.2,global,12.104,252
opt-6.7b,0.25,perlayer,12.5028,368
opt-6.7b,0.25,global,12.7933,247
opt-6.7b,0.3,perlayer,13.359,368
opt-6.7b,0.3,global,13.841,247
